epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,4036.46,1.17843,0.75528,0.87552,0.50257,0.39239,0.40394,0.24395,1.22032,0.88421,0.88353,0.002971,0.002971,0.002971
73,4092.26,1.1719,0.74628,0.87495,0.50947,0.39098,0.4027,0.244,1.22227,0.88043,0.88524,0.002872,0.002872,0.002872
74,4148.34,1.18012,0.75089,0.8741,0.52862,0.38521,0.4024,0.24248,1.22506,0.88048,0.8861,0.002773,0.002773,0.002773
75,4203.71,1.15539,0.73494,0.87236,0.52292,0.38505,0.40366,0.24356,1.224,0.87957,0.88574,0.002674,0.002674,0.002674
76,4259.89,1.16168,0.7354,0.874,0.51886,0.39471,0.40532,0.24464,1.22474,0.87754,0.88535,0.002575,0.002575,0.002575
77,4315.4,1.16269,0.73614,0.87169,0.52301,0.38736,0.40192,0.24229,1.2226,0.87833,0.88481,0.002476,0.002476,0.002476
78,4371.51,1.15911,0.73148,0.87085,0.52253,0.38688,0.40368,0.24352,1.22196,0.87875,0.88433,0.002377,0.002377,0.002377
79,4427.15,1.14934,0.72368,0.87089,0.52363,0.38406,0.40104,0.24159,1.22256,0.88157,0.8852,0.002278,0.002278,0.002278
80,4482.85,1.15268,0.7266,0.87074,0.52099,0.386,0.40102,0.24205,1.22465,0.88379,0.88555,0.002179,0.002179,0.002179
81,4538.99,1.15298,0.72203,0.87134,0.5376,0.38076,0.40181,0.24241,1.22355,0.88537,0.88512,0.00208,0.00208,0.00208
82,4594.43,1.15164,0.71818,0.86961,0.51968,0.38703,0.40327,0.24302,1.22251,0.8863,0.88492,0.001981,0.001981,0.001981
83,4649.94,1.14625,0.71886,0.86918,0.52248,0.38851,0.40459,0.24349,1.2243,0.88428,0.8859,0.001882,0.001882,0.001882
84,4705.34,1.14216,0.7121,0.86844,0.52063,0.38594,0.40416,0.24405,1.22097,0.8837,0.88466,0.001783,0.001783,0.001783
85,4760.95,1.14212,0.71022,0.86824,0.52926,0.38548,0.40319,0.24341,1.2217,0.88628,0.88513,0.001684,0.001684,0.001684
86,4817.13,1.14,0.70734,0.86801,0.52736,0.38736,0.40448,0.24439,1.2212,0.88545,0.88472,0.001585,0.001585,0.001585
87,4872.89,1.13406,0.70317,0.86659,0.53345,0.38492,0.40425,0.24428,1.22213,0.88387,0.88455,0.001486,0.001486,0.001486
88,4928.39,1.12865,0.69625,0.86568,0.52542,0.38582,0.40363,0.24355,1.22371,0.88613,0.88535,0.001387,0.001387,0.001387
89,4983.92,1.13331,0.69791,0.8663,0.53131,0.38392,0.40441,0.24406,1.22563,0.88665,0.88566,0.001288,0.001288,0.001288
90,5039.53,1.13402,0.70132,0.86715,0.53043,0.38677,0.40451,0.24438,1.225,0.8862,0.88554,0.001189,0.001189,0.001189
91,5095.95,1.11642,0.68063,0.86784,0.5205,0.38672,0.40275,0.24379,1.22844,0.88963,0.88643,0.00109,0.00109,0.00109
92,5150.12,1.10417,0.66465,0.86386,0.51556,0.38704,0.4004,0.24304,1.23018,0.89229,0.88711,0.000991,0.000991,0.000991
93,5203.9,1.09949,0.66078,0.86271,0.51903,0.38688,0.40077,0.24215,1.2298,0.89347,0.88713,0.000892,0.000892,0.000892
94,5257.83,1.0939,0.65702,0.86315,0.52679,0.38506,0.4006,0.2421,1.23085,0.89474,0.88698,0.000793,0.000793,0.000793
95,5311.86,1.08867,0.65112,0.86176,0.51945,0.38932,0.4001,0.24154,1.23139,0.89583,0.88735,0.000694,0.000694,0.000694
96,5366.19,1.0843,0.64449,0.86016,0.52158,0.38697,0.39847,0.24052,1.23284,0.89768,0.88766,0.000595,0.000595,0.000595
97,5420.19,1.08125,0.64338,0.86037,0.52704,0.38472,0.39887,0.24125,1.23333,0.89855,0.88795,0.000496,0.000496,0.000496
98,5474.36,1.07871,0.63943,0.85867,0.52972,0.38385,0.39895,0.24101,1.23395,0.8982,0.88767,0.000397,0.000397,0.000397
99,5528.5,1.08189,0.64238,0.86001,0.52997,0.38452,0.39922,0.24087,1.23482,0.89999,0.88788,0.000298,0.000298,0.000298
100,5582.39,1.07739,0.63634,0.85929,0.532,0.38384,0.39933,0.24074,1.23465,0.89989,0.88792,0.000199,0.000199,0.000199
